GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

65.28	65.81	4.598	11.344	1.564	1.118	7.014	10.636	67.585	27.857	142.4	144.4
65.81	66.34	2.989	4.142	1.29	1.045	6.814	7.8	78.746	28.337	144.4	146.4
66.34	66.88	4.138	3.601	1.447	0.741	5.411	9.572	66.345	23.534	146.4	147.9
66.88	67.41	6.897	4.142	2.229	1.24	7.014	13.472	62.625	24.014	147.9	150.2
67.41	68.11	5.747	10.264	3.206	1.276	7.615	12.763	88.047	27.857	150.2	152.7
68.11	68.46	6.897	3.781	0.977	1.215	5.812	13.472	62.625	28.337	152.7	153.8
68.46	68.99	8.276	5.042	1.017	1.908	12.625	21.626	75.646	47.068	153.8	155.4
68.99	69.51	5.747	11.884	1.447	1.349	9.218	13.118	83.707	29.298	155.4	157.5
69.51	70.09	5.058	7.923	0.938	1.871	12.224	10.636	71.306	30.258	157.5	159.7
70.09	70.56	9.656	4.142	1.017	2.066	13.427	18.79	70.066	35.061	159.7	161.6
70.56	71.09	4.368	4.682	0.743	1.142	9.018	10.99	76.886	31.219	161.6	163.8
71.09	71.6	4.368	3.781	0.86	1.483	10.421	7.445	57.045	36.502	163.8	165.3
71.6	72.12	7.357	2.881	1.681	1.993	10.621	12.763	64.485	42.746	165.3	166.7
72.12	72.59	6.667	3.241	1.759	1.944	10.02	13.118	63.245	167.14	166.7	168.8
72.64	73.15	3.678	5.042	0.86	1.227	10.421	9.927	73.166	27.376	169.0	171.0
73.15	73.67	5.058	3.601	0.704	1.543	10.822	13.472	63.245	38.423	171.0	173.1
73.67	74.18	5.288	3.601	1.329	1.726	14.228	11.699	70.686	38.423	173.1	175.2
74.18	74.7	2.989	6.843	0.665	0.887	7.014	8.154	75.026	22.574	175.2	176.9
74.7	75.21	3.908	7.203	0.782	1.215	8.016	9.218	81.846	30.738	176.9	178.8
75.21	75.73	3.219	5.582	0.782	1.045	9.419	6.736	61.385	30.738	178.8	181.0
75.73	76.24	6.207	2.881	0.665	1.543	8.216	12.763	63.865	29.298	181.0	182.8
76.24	76.75	4.138	2.341	0.704	1.288	6.613	10.99	65.725	69.161	182.8	185.4
76.75	77	5.747	2.701	0.704	1.519	9.218	13.472	68.205	36.502	185.4	186.3
77	77.51	4.598	2.701	1.095	0.936	4.008	10.281	53.324	25.455	186.3	188.1
77.51	78.09	6.437	5.942	1.329	2.066	10.22	18.081	76.266	54.753	188.1	190.6
78.09	78.53	3.908	3.061	0.547	0.826	4.409	8.863	60.145	23.054	190.6	191.8
78.53	79.03	7.127	3.241	0.899	1.957	12.826	14.536	53.944	33.14	191.8	193.7
79.03	79.54	6.207	3.241	0.782	1.556	8.818	13.827	63.245	39.384	193.7	195.6
79.54	80.09	4.828	5.222	0.821	1.325	8.016	12.054	71.926	42.265	195.6	197.7
80.09	80.55	5.977	7.383	1.017	1.41	7.615	14.181	69.445	22.093	197.7	199.4
80.55	81.09	5.518	3.241	0.782	1.385	9.619	15.245	62.005	27.376	199.4	200.9
81.09	81.55	6.897	2.161	1.447	1.045	10.02	13.472	58.285	20.652	200.9	202.4
81.55	82.05	3.219	3.601	1.095	0.911	10.822	7.8	66.345	30.258	202.4	204.6
82.05	82.55	9.196	2.521	1.134	1.41	7.816	17.372	55.184	26.416	204.6	206.7
82.55	83.1	6.667	4.862	0.626	1.118	6.814	12.763	57.045	26.896	206.7	208.9
83.1	83.55	16.093	6.302	7.35	1.227	4.409	26.944	64.485	42.265	208.9	211.0
83.55	84.09	7.357	3.601	3.441	1.604	8.818	14.89	63.245	66.76	211.0	213.1
84.09	84.54	2.989	4.142	0.391	0.79	5.01	7.8	67.585	34.1	213.1	214.7
84.54	85.04	9.426	6.122	0.704	2.066	12.024	18.081	71.306	40.344	214.7	216.4
85.04	85.53	5.747	11.344	0.821	1.227	7.816	12.409	57.665	23.534	216.4	218.3
85.53	86.03	6.437	7.203	1.212	1.349	4.409	16.663	63.245	55.713	218.3	219.9
86.03	86.27	10.115	1.441	1.329	1.337	4.409	20.563	44.023	47.068	219.9	220.7
86.27	86.76	7.817	4.862	5.787	1.556	27.054	16.663	83.087	60.036	220.7	222.5
86.76	87.08	10.575	3.961	5.826	1.398	7.615	20.917	70.066	36.982	222.5	223.8
87.08	87.5	2.069	5.582	0.899	0.839	5.812	13.472	99.208	30.738	223.8	225.6
87.5	87.99	5.747	3.781	0.899	1.252	5.01	12.054	64.485	30.738	225.6	227.2
87.99	88.36	3.908	8.103	0.938	1.215	6.814	9.927	81.226	39.864	227.2	228.5
88.36	88.72	8.276	3.241	0.704	1.641	8.016	16.663	55.184	34.581	228.5	229.9
88.72	89.21	6.437	4.502	0.704	1.774	11.623	13.472	66.965	44.667	229.9	231.9
89.21	89.7	5.288	7.563	0.782	0.948	4.409	11.699	63.865	32.66	231.9	233.7
89.7	90.19	4.138	7.203	2.033	1.337	7.214	9.927	70.066	31.699	233.7	236.2
90.19	90.67	10.805	5.042	2.072	2.564	14.228	20.208	60.145	38.903	236.2	237.9
90.67	91.16	8.966	5.222	10.322	0.972	7.214	19.854	71.306	36.982	237.9	239.8
91.16	91.64	5.977	4.682	1.408	1.568	7.415	14.89	66.345	28.337	239.8	241.6
91.64	92.12	2.989	3.601	0.86	1.094	4.609	7.445	62.005	29.778	241.6	243.8
92.12	92.58	3.908	10.984	1.916	1.446	7.816	19.854	80.606	39.384	243.8	245.9
92.58	93.09	5.747	7.923	1.525	1.604	8.617	13.827	81.226	28.337	245.9	247.8
93.09	93.59	5.288	7.383	2.541	1.434	8.818	10.281	73.786	45.147	247.8	250.2
93.59	94.09	8.736	7.563	2.15	1.896	7.615	19.145	68.205	32.66	250.2	251.8
94.09	94.53	5.977	4.502	3.597	1.057	4.609	13.472	62.005	34.581	251.8	253.3
94.53	95.01	4.138	5.222	2.15	1.434	7.615	10.99	71.926	73.004	253.3	254.7
95.01	95.49	8.506	3.601	2.385	2.564	12.224	16.308	57.665	63.878	254.7	256.8
95.49	95.96	5.518	3.781	1.564	1.701	8.417	17.372	61.385	36.982	256.8	258.6
95.96	96.09	5.058	2.161	0.821	1.58	4.81	8.863	54.564	21.133	258.6	259.1
96.09	96.63	3.908	2.521	1.056	1.009	6.212	9.218	62.625	24.495	259.1	261.0
96.63	97.09	8.506	2.341	0.782	1.604	6.413	16.663	52.704	24.975	261.0	262.6
97.09	97.59	4.138	3.061	0.743	1.13	5.21	9.572	66.345	20.652	262.6	264.7
97.59	98.09	5.747	4.502	1.838	1.227	8.216	13.118	76.886	28.817	264.7	266.4
98.09	98.58	4.368	3.781	1.681	0.924	4.81	11.345	58.285	23.534	266.4	268.3
98.58	99.05	4.598	3.421	2.58	1.24	6.814	12.409	71.926	29.298	268.3	270.0
99.05	99.52	6.437	4.502	1.056	1.641	8.617	15.245	62.625	24.975	270.0	271.7
99.52	100.11	6.897	4.682	4.887	1.361	9.419	15.245	52.084	28.337	271.7	273.6
100.11	100.46	4.598	3.781	0.938	1.13	6.012	11.345	66.965	46.588	273.6	275.2
100.46	100.93	2.989	3.061	0.626	1.203	7.214	7.445	64.485	43.226	275.2	276.8
100.93	101.4	6.207	5.942	1.408	1.847	11.824	12.763	85.567	30.258	276.8	279.0
