GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

2842.4	2842.6	3.78	4.64	0.52	2.21	6.33	13.14	49.21	29.35	999999	999999
2842.6	2842.8	3.84	5.96	1.07	2.27	6.83	12.82	49.4	27.82	999999	999999
2842.8	2843	5.73	14.8	2.37	3.01	7.14	17.38	49.71	36.71	999999	999999
2843	2843.2	3.96	4.83	0.93	2.28	6.27	10.19	49.63	34.08	999999	999999
2843.2	2843.4	4.05	6.7	0.76	2.41	6.84	9.79	47.83	30.96	999999	999999
2843.4	2843.6	3.92	7.89	0.63	2.41	6.18	9.67	49.9	33.86	999999	999999
2843.6	2843.8	3.66	8.38	0.61	2.25	6.67	10.46	49.05	30.65	999999	999999
2843.8	2844	3.95	6.68	0.66	2.57	6.79	9.55	50.18	33.22	999999	999999
2844	2844.2	3.75	8.59	0.71	2.2	6.23	9.52	49.53	31.02	999999	999999
2844.2	2844.4	4.51	9.43	1.09	2.78	6.97	14.35	48.72	36.74	999999	999999
2844.4	2844.6	3.77	7.06	0.72	1.96	6.23	10.13	49.07	29.29	999999	999999
2844.6	2844.8	3.63	6.04	0.64	2.14	6.03	9.71	49	29.95	999999	999999
2844.8	2845	3.45	10.11	0.6	2.21	5.39	9.78	52.57	29.53	999999	999999
2845	2845.2	3.33	7.73	0.72	2.2	5.62	8.94	51.47	30.53	999999	999999
2845.2	2845.4	3.31	7.79	1.25	1.98	5.35	8.57	50.77	28.44	999999	999999
2845.4	2845.6	3.15	9.7	0.81	2.08	5.33	8.48	50.13	31.07	999999	999999
2845.6	2845.8	3.16	8.81	0.71	1.86	4.34	9.18	53.15	33.52	999999	999999
2845.8	2846	2.7	8.02	0.75	1.76	4.03	8.09	52.71	26.86	999999	999999
2846	2846.2	3.21	8.14	0.76	1.92	4.53	8.61	55.18	33.86	999999	999999
2846.2	2846.4	3.24	7.38	0.77	2.16	5.36	8.93	54.55	43.24	999999	999999
2846.4	2846.6	3.17	9.19	0.77	1.73	4.24	8.96	55.5	31.99	999999	999999
2846.6	2846.8	3.22	8.01	0.75	1.95	5.13	8.87	57.26	33.17	999999	999999
2846.8	2847	4.81	8.95	0.61	2.12	4.74	8.63	57.2	32.07	999999	999999
2847	2847.2	3.43	8.03	0.85	2.23	6.02	9	58.08	36.37	999999	999999
2847.2	2847.4	3.01	8.86	0.64	2.08	4.92	7.68	61.87	34.17	999999	999999
2847.4	2847.6	3.31	7.5	0.72	2.07	5.33	9.34	60.94	39.25	999999	999999
2847.6	2847.8	3.29	9.57	0.71	2	5.08	10.15	64.07	36.8	999999	999999
2847.8	2848	3.26	7.36	1.27	2.12	5.52	9.05	62.48	35.9	999999	999999
2848	2848.2	3.2	7.49	0.79	2.06	5.34	8.08	59.34	35.68	999999	999999
2848.2	2848.4	3.12	7.78	0.76	2	4.76	8.5	57.41	35.06	999999	999999
2848.4	2848.6	4.01	8.46	2.1	2.1	5.02	10.03	56.51	36.51	999999	999999
2848.6	2848.8	3.1	7.87	1.04	2	4.65	8.42	55.83	35.38	999999	999999
2848.8	2849	3.27	8.73	0.86	3.21	7.09	8.47	52.52	33.15	999999	999999
2849	2849.2	12.62	9.02	1.88	5.9	40.22	24.69	73.51	64.76	999999	999999
2849.2	2849.4	15.25	9.3	2.54	6.32	46.7	30.47	77	74.2	999999	999999
2849.4	2849.6	16.93	8.87	2.8	9.28	66.99	32.63	65.72	85.2	999999	999999
2849.6	2849.8	27.29	8.71	3.9	14.48	125.52	47.1	77.97	128.05	999999	999999
2849.8	2850	22.4	7.31	3.06	11.08	91.04	39.47	73.77	101.78	999999	999999
2850	2850.2	11.8	8.56	2.06	6.52	34.66	21.7	67.93	57.14	999999	999999
2850.2	2850.4	14.92	9.4	2.57	7.54	47.78	30.57	64.99	71.36	999999	999999
2850.4	2850.6	28.37	12.21	5.73	13.02	107.86	51.72	74.82	117.04	999999	999999
2850.6	2850.8	17.43	7.16	2.79	10.2	75.84	31.55	67.35	82.41	999999	999999
2850.8	2851	21.76	8.98	3.06	11.57	100.33	35.3	73.8	105.73	999999	999999
2851	2851.2	20.03	8.16	3.09	10.5	80.66	36.26	70.17	94.52	999999	999999
2851.2	2851.4	19.66	8.12	3	10.12	74.74	36.05	69.3	93.37	999999	999999
2851.4	2851.6	19.95	7.27	2.92	10.27	76.29	35.61	69.78	92.34	999999	999999
2851.6	2851.8	18.62	7.97	3.08	9.69	66.4	35.08	67.07	84.67	999999	999999
2851.8	2852	17.09	8	3.02	9.43	61.45	34.33	66	82.46	999999	999999
2852	2852.2	22.8	7.75	3.65	11.69	88.8	40.75	66.91	100.01	999999	999999
2852.2	2852.4	29.26	7.16	4.54	15.8	135.25	49.11	71.21	130.17	999999	999999
2852.6	2852.8	20.88	8.54	3.23	10.88	87.04	38.7	72.66	98.1	999999	999999
2852.8	2853	10.81	10.43	1.86	6.39	34.09	23.59	60.41	56.13	999999	999999
2853	2853.2	11.3	7.36	1.89	6.62	34.14	22.63	60.04	59	999999	999999
2853.6	2853.8	6.63	11.99	1.9	6.02	22.14	15.1	62.54	43.46	999999	999999
2853.8	2854	12.33	9.1	2.05	5.77	35.11	26.27	67.91	57.65	999999	999999
2854	2854.2	12.25	6.99	1.8	5.28	41.41	26.47	74.31	64.38	999999	999999
2854.2	2854.4	3.46	7.99	1.56	3.87	10.08	8.73	59.19	37.47	999999	999999
2854.4	2854.6	2.92	6.39	0.96	2.15	5.37	7.85	63.15	29.87	999999	999999
2854.6	2854.8	3.21	7.72	1.67	2.25	6.87	7.66	52.64	35.05	999999	999999
2854.8	2855	3.24	7.11	1.05	2.08	5.2	8.18	54.62	32.75	999999	999999
2855	2855.2	3.08	6.86	0.87	2.78	5.91	7.3	53.71	30.82	999999	999999
2855.2	2855.4	10.6	8.19	1.96	5.11	37.5	24.28	65.39	60.8	999999	999999
2855.4	2855.6	11.03	9.79	2.1	6.28	37.05	24.55	61.62	59.33	999999	999999
2855.6	2855.8	20.28	7.07	3.53	12.37	95.99	37.91	68.06	99.22	999999	999999
2855.8	2856	31.53	6.4	4.81	18.38	160.83	50.65	73.18	141.85	999999	999999
2856	2856.2	31.79	6.76	4.85	17.45	167.68	50.85	72.65	146.13	999999	999999
2856.2	2856.4	28.38	7.03	4.14	15.21	146.28	45.27	71.01	130.37	999999	999999
2856.4	2856.6	20.21	10.08	4.03	11.25	88.47	38.33	64.95	94.69	999999	999999
2856.6	2856.8	17.57	9.21	3.15	9.17	62.95	35.73	68.19	87.18	999999	999999
2856.8	2857	22.14	7.41	3.17	12.39	99.97	40.6	73.5	112.24	999999	999999
2857	2857.2	21.19	7.56	3.17	11.68	93	39.49	73	106.83	999999	999999
2857.2	2857.4	18.84	7.99	2.77	10.15	75.85	36.02	70.51	94.01	999999	999999
2857.4	2857.6	30.76	6.68	4.29	17.33	157.88	52.35	75.82	147.05	999999	999999
2857.6	2857.8	33.26	7.23	4.74	19.05	180.96	55.01	75.11	159.19	999999	999999
2857.8	2858	17.31	7.5	2.88	9.48	68.87	34.85	68.51	87.19	999999	999999
2858	2858.2	15.24	8.15	2.54	7.21	56.46	29.28	71.68	79.57	999999	999999
2858.2	2858.4	9.84	9.62	1.86	6.89	31.26	19.47	66.47	57.57	999999	999999
2858.4	2858.6	15.82	8.23	2.17	6.69	51.03	32.1	75.91	78.21	999999	999999
2858.6	2858.8	12.16	10.56	1.99	6.31	40.09	27.63	67.54	66.36	999999	999999
2858.8	2859	11.92	9.5	1.82	6.31	38.95	25.71	67.45	63.24	999999	999999
2859	2859.2	11.43	8.91	1.71	5.91	38.8	25.7	68.83	66.09	999999	999999
2859.2	2859.4	10.67	8.07	1.65	6.19	36.43	23.8	67.56	61.08	999999	999999
2859.4	2859.6	11.48	9.54	1.93	6.37	38.83	25.68	70.59	63.81	999999	999999
2859.6	2859.8	12.67	9.67	1.5	5.81	39.05	24.89	69.99	68.24	999999	999999
2859.8	2860	3.56	8.63	0.76	3.51	8.55	8.61	64.91	37.44	999999	999999
2860	2860.2	3.55	11.15	5.44	2.09	5.34	7.86	65.94	40.15	999999	999999
2860.2	2860.4	3.33	10.31	0.91	2.12	5.23	8.34	65.69	36.34	999999	999999
2860.4	2860.6	3.41	9.11	0.75	2.22	5.73	7.95	69.38	35.38	999999	999999
2860.6	2860.8	3.33	8.87	0.96	2.14	5.65	7.8	71.69	32.55	999999	999999
2860.8	2861	3.22	8.63	0.78	2.14	5.29	7.77	68.88	29.75	999999	999999
2861.01	2861.2	3.49	7.49	0.73	2.1	4.95	8.26	65.79	34.8	999999	999999
2861.2	2861.4	3.32	8.37	0.74	2.25	5.1	8.12	65.18	37.16	999999	999999
2861.4	2861.6	11.07	9.09	2.23	6.13	37.25	23.78	63.52	61.64	999999	999999
2861.6	2861.8	17.73	7.7	2.78	9.69	67.46	35.05	70.02	86.21	999999	999999
2861.8	2862	14.01	8.57	2.09	7.45	47.56	29.2	67.33	71.04	999999	999999
2862	2862.2	14.84	8.01	2.32	8.12	55.08	30.59	69.6	77.11	999999	999999
2862.2	2862.4	16.16	8.68	2.28	8.42	62.88	32.1	72.83	82.77	999999	999999
2862.4	2862.6	14.76	9.16	2.23	6.88	50.93	31.79	77.73	78.47	999999	999999
2862.6	2862.8	12.85	8.28	2.1	4.98	32.87	24.34	60.52	59.22	999999	999999
2862.8	2863	8.88	9.93	1.31	4.33	20.6	18.24	54.33	48.85	999999	999999
2863	2863.2	8.96	8.3	1.26	4.65	20.54	17.69	55.16	49.7	999999	999999
2863.2	2863.4	9.63	7.8	1.36	4.44	24.17	19.12	56.99	50.72	999999	999999
2863.4	2863.6	9.82	9.37	1.21	4.62	25.42	19.54	56.91	52.63	999999	999999
2863.6	2863.8	8.33	7.97	1.19	5.28	20.64	16.85	49.71	45.72	999999	999999
2863.8	2864	14.89	8.18	1.89	6.68	45.83	26.99	73.28	67.48	999999	999999
2864	2864.2	15.25	7.98	2.09	7.53	50.3	27.74	70.25	72.94	999999	999999
2864.2	2864.4	16.19	8.48	2.22	7.94	58.76	29.64	73.33	79.32	999999	999999
2864.4	2864.6	12.92	8.64	1.8	6.37	39.95	23.68	69.36	64.66	999999	999999
2864.6	2864.8	12.81	8.7	1.93	6.51	43.56	24.08	73.82	66.47	999999	999999
2864.8	2865	12.5	7.66	1.87	6.42	43.24	23.48	73.63	66.4	999999	999999
2865	2865.2	13.06	8.94	1.77	6.47	41.78	23.26	72.94	67.35	999999	999999
2865.2	2865.4	13.72	10.97	1.8	6.72	46.13	26.51	76.9	72.76	999999	999999
2865.6	2865.8	9.86	10.99	1.65	6.16	30.27	20.59	67.04	54.43	999999	999999
2865.8	2866	13.9	9.06	1.6	6.06	42.46	26.2	77.5	65.55	999999	999999
2866	2866.2	11.65	9.96	2.05	5.98	36.03	22.24	68.89	58.88	999999	999999
2866.2	2866.4	12.92	11.27	1.58	6.06	38.56	23.58	74.2	75.17	999999	999999
2866.4	2866.6	10.59	12.63	1.16	7.3	28.07	19.19	62.24	76.02	999999	999999
2866.6	2866.8	16.48	10.38	2.07	8.07	58.58	34.72	70.16	92.2	999999	999999
2866.8	2867	10.61	9.48	1.63	6.22	32.65	20.49	65.56	60.72	999999	999999
2867	2867.2	12.44	10.08	2.05	6.31	39.45	23.6	72.09	62.66	999999	999999
2867.2	2867.4	11.1	9.71	1.75	6.52	37.26	20.53	69.46	60.97	999999	999999
2867.4	2867.6	17.4	12.02	2.29	8.61	59.86	36.24	70.25	93.3	999999	999999
2867.6	2867.8	15.02	9.33	2.18	7.93	50.97	31.73	62.83	77.25	999999	999999
2867.8	2868	12.66	9.35	2.2	7.41	43.34	25.69	73.99	75.62	999999	999999
2868	2868.2	14.29	9.86	2.06	7.85	61.53	26.28	78.87	76.29	999999	999999
2868.2	2868.4	13.26	10.5	2.41	8.79	57.96	24.52	73.53	72.97	999999	999999
2868.4	2868.6	13.17	10.76	2.45	8.11	53.16	24.67	66.85	70.68	999999	999999
2868.6	2868.8	18.86	9.71	2.58	8.39	71.75	32.69	72.52	85.98	999999	999999
2868.8	2869	19.04	8.02	2.55	10.91	85.18	33.88	73.09	90.44	999999	999999
2869	2869.2	18.45	9.21	2.88	11.46	88.37	33.34	70.72	91.88	999999	999999
2869.2	2869.4	18.45	8.91	2.79	9.85	77.27	33.17	71.44	87.66	999999	999999
2869.4	2869.6	17.47	10.14	2.48	7.98	63.03	32.53	69.98	81.61	999999	999999
2869.6	2869.8	17.84	9.78	2.47	9.19	72.36	31.8	70.01	86.17	999999	999999
2869.8	2870	12.04	8.54	1.85	6.44	35.88	23.05	63.51	62.49	999999	999999
2870	2870.2	12.05	9.1	1.89	6.63	39.29	22.8	64.64	62.27	999999	999999
2870.2	2870.4	11.58	9.11	1.78	6.42	37.2	22.15	65.27	60.88	999999	999999
2870.4	2870.6	10.39	9.3	1.74	6.75	35.92	20.89	61.32	57.58	999999	999999
2870.6	2870.8	13.48	9.36	2.3	6.75	47.74	26.21	73.25	69.83	999999	999999
2870.8	2871	8.9	10.8	1.5	6.32	25.25	18.01	52.57	49.98	999999	999999
2871	2871.2	8.77	9.7	1.51	6.64	26.17	17.86	54.23	51.58	999999	999999
2871.2	2871.4	12.21	9.86	2.05	5.76	37.6	23.61	69.24	63.41	999999	999999
2871.4	2871.6	9.08	9.89	1.39	6.07	27.4	19	56.58	51.47	999999	999999
2871.6	2871.8	8.82	9.09	1.59	5.94	26.89	18.38	52.82	48.48	999999	999999
2871.8	2872	11.83	7.95	1.95	6.07	37.52	22.93	68.57	63.53	999999	999999
2872	2872.2	14.29	8.89	2.04	5.88	49.25	25.95	73.56	72.98	999999	999999
2872.2	2872.4	20.65	8.07	3.22	10.54	94.21	35.77	79.42	99.43	999999	999999
2872.4	2872.6	22.94	8.57	3.44	12.39	104.04	41.14	76.3	107.05	999999	999999
2872.6	2872.8	23.37	9.41	4.21	11.81	94.65	38.61	67.04	104.36	999999	999999
2872.8	2873	22.53	9.93	3.51	11.53	88.41	38.48	67.86	100.92	999999	999999
2873	2873.2	22.18	9.46	3.29	11.4	87.88	37.24	68.19	101.08	999999	999999
2873.2	2873.4	19.78	7.85	3.2	10.1	73.04	34.27	65.68	87.61	999999	999999
2873.4	2873.6	16.99	9.25	3.26	8.49	60.24	29.74	67.15	82.98	999999	999999
2873.6	2873.8	22.5	9.46	3.21	10.94	91.99	36.65	74.8	104.46	999999	999999
2873.8	2874	20.59	8.32	2.82	9.47	79.69	31.92	72.65	94.05	999999	999999
2874	2874.2	20.18	9.42	2.88	9.56	77.31	34.24	69.9	92.74	999999	999999
2874.2	2874.4	13.15	8.53	2.45	7.62	44.77	24.76	62.91	67.1	999999	999999
2874.4	2874.6	10.69	10.93	1.87	6.98	29.83	19.26	54.48	56.28	999999	999999
2874.6	2874.8	12.3	9.15	1.95	6.53	35.67	22.65	59.5	61.35	999999	999999
2874.8	2875	17.17	10.68	2.68	8.72	60.44	29.93	68.78	78.72	999999	999999
2875	2875.2	14.01	9.88	2.57	6.33	47.19	24.31	72.4	67.61	999999	999999
2875.2	2875.4	9.62	13.34	2.38	5.74	28.62	18.17	61.22	53.27	999999	999999
2875.4	2875.6	13.37	11	2.28	6.54	42.88	25.16	67.96	64.34	999999	999999
2875.6	2875.8	11.79	11.03	2.24	6.75	41.38	22.21	66.15	60.27	999999	999999
2875.8	2876	8.2	12.07	1.91	6.46	27.56	16.22	53.87	48.98	999999	999999
2876	2876.2	15.01	9.11	3.01	8.83	52.86	28.93	60.98	68.41	999999	999999
2876.2	2876.4	17.43	9.18	2.69	8.92	67.84	29	69.51	85.19	999999	999999
2876.4	2876.6	9.92	10.9	2.11	6.93	33.57	19.03	58.9	55.03	999999	999999
2876.6	2876.8	11.72	11.6	2.2	6.61	41.05	21.25	65.74	62.33	999999	999999
2876.8	2877	12.7	9.08	2.39	7.34	46.47	23.65	65.66	64.19	999999	999999
2877	2877.2	14.94	9.13	2.37	7.11	52	27.09	72.61	72.52	999999	999999
2877.2	2877.4	9.33	10.55	2.63	6.55	29.25	17.79	56.96	52.2	999999	999999
2877.4	2877.63	8.68	13.45	1.82	5.9	23.79	20.02	58.93	48.45	999999	999999
2877.63	2877.8	11.61	11.24	2.88	6.13	28.55	21.49	60.76	55.09	999999	999999
2877.8	2878	11.44	11.17	1.97	6.82	32.8	22.2	60.32	56.7	999999	999999
2878	2878.2	17.28	9.46	2.66	8.27	71.17	30.18	78.32	81.76	999999	999999
2878.2	2878.4	15.44	10.51	2.28	8.89	59.08	28.65	67.26	73.6	999999	999999
2878.4	2878.6	18.14	7.75	3.12	10.24	74.64	32.17	66.83	85.26	999999	999999
2878.6	2878.8	19.79	8.77	3.21	10.85	83	34.45	68.74	90.69	999999	999999
2878.8	2879	20.32	8.29	3.49	10.5	78.55	35.96	68.3	92.63	999999	999999
2879	2879.2	20.01	8.63	2.7	9.11	65.89	35.77	67.93	86.75	999999	999999
2879.2	2879.4	21.28	8.77	2.92	10.11	76.82	38.37	69.59	97.54	999999	999999
2879.4	2879.6	21.28	8.54	3.27	10.28	80.34	37.87	69.24	94.56	999999	999999
2879.6	2879.8	16.83	9.19	2.57	9.23	65.16	30.04	66.97	79.89	999999	999999
2879.8	2880	14.48	8.44	2.17	6.87	42.76	26.29	65.1	69.92	999999	999999
2880	2880.22	13.99	8.64	2.3	6.91	40.27	25.32	66.55	67.61	999999	999999
2880.22	2880.4	13.56	9.17	2.06	6.51	38.59	24.35	64.77	64.92	999999	999999
2880.4	2880.6	15.33	9.69	2.33	6.93	48.22	27.31	68.89	71.49	999999	999999
2880.6	2880.8	17.8	7.43	2.76	8.92	69.9	30.41	69.96	80.49	999999	999999
2880.8	2881	16.91	8.09	2.61	8.68	65.67	31.13	68.79	78.87	999999	999999
2881.01	2881.2	15.17	7.76	2.4	7.81	56.69	28.03	66.79	69.98	999999	999999
2881.2	2881.4	11.86	9.88	1.82	7.16	41.29	22.97	62.95	59.78	999999	999999
2881.4	2881.6	10.2	14.58	1.69	6.7	30.09	19.91	59.25	59.29	999999	999999
2881.6	2881.8	10.67	11.51	1.65	5.73	28.17	21.21	61.79	56.21	999999	999999
2881.8	2882	10.85	10.51	2.13	5.07	24.68	24.21	62.59	49.48	999999	999999
2882	2882.2	10.36	8.78	1.81	5.16	26.73	21.21	64.23	50.33	999999	999999
2882.2	2882.4	11.24	8.91	1.82	5.31	34.31	22.32	70.82	59.05	999999	999999
2882.4	2882.6	13.76	9.73	1.81	5.58	44.62	25.4	79.81	72.61	999999	999999
2882.6	2882.8	14.03	8.73	1.98	6.41	36.96	28.19	64.8	64.52	999999	999999
2882.8	2883	4.27	9.12	1.52	5.98	14.82	11.23	55.87	53.78	999999	999999
2883	2883.2	3.65	8.29	1.04	2.73	6.22	8.36	59.55	38.94	999999	999999
2883.2	2883.4	4.13	12.57	1.61	2.42	6.12	8.88	59.67	32.94	999999	999999
2883.4	2883.6	8.67	10.57	1.3	4.71	25.5	16.91	62.7	55.36	999999	999999
2883.6	2883.8	11.12	9.41	2.12	6.2	30.56	22.21	59.46	54.56	999999	999999
2883.8	2884	11.97	10.76	1.79	6.45	36.59	23.12	67.99	61.92	999999	999999
2884	2884.2	10.92	9.99	2.43	5.33	37.68	21.77	66.41	59.29	999999	999999
2884.2	2884.4	17.38	9.95	2.15	5.66	52.65	29.71	80.73	81.94	999999	999999
2884.4	2884.6	7.68	10.62	1.64	6.61	24.5	15.58	54.92	48.43	999999	999999
2884.6	2884.8	9.39	10.6	1.75	6.22	23.06	18.78	57.64	52.29	999999	999999
2884.8	2885	11.08	11.34	2.14	5.72	27.93	22.6	64.91	55.68	999999	999999
2885	2885.2	12.5	11	1.98	5.56	32.37	25.28	67.59	59.63	999999	999999
2885.2	2885.4	10.45	9.93	2	5.78	30.65	22.31	65.07	53.36	999999	999999
2885.4	2885.6	11.4	9.85	2.02	5.79	33.14	23.17	68	59.38	999999	999999
2885.6	2885.8	10.91	10.56	1.82	5.41	30.15	21.69	67.58	58.01	999999	999999
2886.2	2886.4	10.25	9.11	1.77	4.76	26.92	19.83	66.27	54.78	999999	999999
2886.4	2886.6	9.03	10.11	1.52	5.08	23.88	18.78	61.32	48.94	999999	999999
2886.6	2886.8	9.27	7.68	1.96	4.73	26.14	17.9	63.85	52.21	999999	999999
2886.8	2887	3.4	7.95	1.03	2.01	5.31	7.68	51.89	30.23	999999	999999
2887	2887.2	6.77	8.21	1.56	3.73	17.23	14.29	57.39	45.51	999999	999999
2887.2	2887.4	10.8	10.41	1.85	5.51	29.02	21.14	67.29	59.78	999999	999999
2887.4	2887.6	10.72	9.9	1.93	5.36	29.77	21.17	67.42	58.83	999999	999999
2887.6	2887.8	9.8	10.29	1.63	5.56	25.01	19.05	65.48	54.6	999999	999999
2887.8	2888	10.68	10.08	1.86	5.33	29.26	20.39	66.97	58.52	999999	999999
2888	2888.2	11.39	10.68	2.06	5.54	31.91	21.61	68.86	59.87	999999	999999
2888.2	2888.4	10.25	9.51	2.04	5.68	29.39	20.48	63.83	55.7	999999	999999
2888.4	2888.6	11.79	8.82	1.95	5.71	32.87	21.5	66.28	59.65	999999	999999
2888.6	2888.8	11.61	7.63	2.03	5.77	30.79	22.04	62.33	56.74	999999	999999
2888.8	2889	10.68	8.82	1.98	5.91	30.71	20.45	63.77	55.36	999999	999999
2889	2889.2	10.61	9.31	2.12	6.38	30.65	20.68	62.08	56.09	999999	999999
2889.2	2889.38	9.08	12.16	1.54	6.38	25.1	19.45	61.28	51.57	999999	999999
2889.38	2889.6	8.94	10.53	2.4	5.94	20.05	18.53	58.78	51.51	999999	999999
2889.6	2889.8	8.89	8.68	1.65	5.7	20.55	17.68	53.39	48.07	999999	999999
2889.8	2890	13.05	8.45	2.54	6.65	41.49	26.42	61.09	60.95	999999	999999
2890	2890.2	39.81	5.77	4.61	15.8	181.66	58.94	104.01	166.23	999999	999999
2890.2	2890.4	6.39	9.1	2.66	6.65	30.55	19.5	48.66	57.69	999999	999999
2890.4	2890.6	3.46	6.92	1.19	3.17	6.18	7.99	48.47	31.55	999999	999999
2890.6	2890.8	3.83	7.39	1.76	4.9	10.37	9.86	45.43	34.69	999999	999999
2890.8	2891	23.29	10.11	3.91	10.66	90.23	45.4	84.86	108.56	999999	999999
2891	2891.2	3.25	6.45	1.36	4.41	5.92	7.75	44.58	29.92	999999	999999
2891.2	2891.4	17.24	6.09	3.17	10.18	68.58	33.39	64.38	83.53	999999	999999
2891.4	2891.6	11.26	6.91	2.11	6.39	44.48	20.9	60.16	63.75	999999	999999
2891.6	2891.8	3.45	8.74	1.51	2.51	7.54	8.52	55.54	40.65	999999	999999
2891.8	2892	3.59	7.7	1.75	4.3	8.39	8.34	51.56	37.71	999999	999999
2892	2892.2	29.12	6.89	3.98	11.79	112.49	50.32	92.55	121.57	999999	999999
2892.2	2892.4	8.6	7.02	2.13	6.37	28.86	17.59	54.13	52.79	999999	999999
2892.4	2892.6	3.62	6.89	1.19	3.42	10.98	9.08	51.49	33.84	999999	999999
2892.6	2892.8	8.78	6.48	2.29	5.45	34.61	18.47	59.92	55.63	999999	999999
2892.8	2893	15.84	9.6	2.95	7.08	52.13	29.24	70.49	76.94	999999	999999
2893	2893.2	22.26	6.95	4.07	13.44	105.92	37.48	68.33	102.28	999999	999999
2893.2	2893.4	23.29	10.89	4.84	13.89	104.28	45.38	67.1	104.32	999999	999999
2893.4	2893.6	28.18	7.01	6.54	14.22	109.05	46.91	69.37	111.2	999999	999999
2893.6	2893.8	25.92	7.54	4.5	13.76	106.52	41.31	70.7	110.35	999999	999999
2893.8	2894	23.01	6.63	3.63	12.75	98.12	40.58	69.68	102.93	999999	999999
2894	2894.2	16.71	7.37	2.88	8.95	62.29	31.71	71.79	78.76	999999	999999
2894.2	2894.4	11.06	7.36	1.64	5.58	32.79	20.02	66.81	60.03	999999	999999
2894.4	2894.6	6.73	8.04	1.41	4.98	23.02	14.45	59.23	45.9	999999	999999
2894.6	2894.8	17.91	7.84	2.59	8.98	72.42	31.91	78.95	83.34	999999	999999
2894.8	2895	12.75	8.71	2.48	7.35	40.84	25.23	66.71	62.48	999999	999999
2895	2895.2	21.31	8.29	3.29	11.04	86.91	36.84	75.19	88.9	999999	999999
2895.2	2895.4	14.73	8.72	2.56	9.75	63.56	26.96	70.03	86.71	999999	999999
2895.4	2895.6	13.1	8.97	2.72	5.98	44.6	25.1	75.66	69.41	999999	999999
2895.6	2895.8	11.32	8.78	2.48	6.12	38.23	20.81	63.33	63.66	999999	999999
2895.8	2896	16.12	8.38	1.35	7.39	56.94	27.64	73.37	79.75	999999	999999
2896	2896.2	17.06	7.99	3.22	9.68	71.49	32.93	71.63	80.12	999999	999999
2896.2	2896.4	14.97	8.61	2.41	7	48.27	28.04	72.42	69.87	999999	999999
2896.4	2896.6	11.2	9.45	1.77	5.61	36.75	23.13	69.65	64.39	999999	999999
2896.6	2896.8	4.61	10.56	1.36	5.45	14.19	10.88	53.52	45.51	999999	999999
2896.8	2897	39.56	5.57	5.53	21.81	184.33	70.16	85.9	170.51	999999	999999
2897	2897.2	47.19	5.32	6.42	25.5	215.88	81.54	80.84	197.96	999999	999999
2897.2	2897.4	26.72	6.53	4.26	15.4	115.23	49.27	70.9	120.43	999999	999999
2897.4	2897.6	30.45	7.04	4.71	17.36	141.78	54.01	71.98	130.58	999999	999999
2897.6	2897.8	40.01	5.47	6.66	23.42	196.76	71.1	72.62	169.23	999999	999999
2897.8	2898	37.35	6.46	4.77	21.07	172.98	64.07	74.93	160.31	999999	999999
2898	2898.2	43.35	4.97	6.67	21.77	170.91	73.33	73.18	156.69	999999	999999
2898.2	2898.4	49.26	5.68	7.15	26.91	236.06	80.42	81.63	204.26	999999	999999
2898.4	2898.6	48.58	6	7	29.58	270.81	80.23	83.36	218.52	999999	999999
2898.6	2898.8	30.97	4.5	5.93	15.5	104.59	61.78	59.41	110.4	999999	999999
2898.8	2899	31.32	4.19	5.86	16.82	116.72	62.37	60.05	115.48	999999	999999
2899.2	2899.4	39.57	4.99	6.56	21.15	170.15	71.5	68.56	155.67	999999	999999
2899.4	2899.6	55.01	5.71	7.98	33.61	303.93	91.31	87.48	234.8	999999	999999
